%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
40.0, -11933.328143754978, -14789.724622932032, -83501.78104660286, -37364.89711581435, -12259.596557569093, -33303.40633432941, -15142.658667881331, -58059.282071504844, -36226.32160500546, -40191.163443465644, -71360.84990034699, -87044.53254276903, -11533.94717382755, -68297.67743321389, -16119.228734878152, -57368.791981791495, 0.12887500000000002, 0.97925, 0.04775, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498601377E9, 0.0, 2025-03-12 17:07:29.860
42.0, -11925.236812262156, -14782.035622839407, -83743.33634893136, -37318.874873980865, -12244.106798661567, -33267.53178447864, -15324.22188809179, -58048.21795799947, -36691.9084420095, -40085.260878236404, -71254.41089325081, -86932.63971002576, -11582.29399708438, -68198.3462808545, -16258.770675512635, -57260.766000839, 0.12887500000000002, 0.97925, 0.04775, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498601594E9, 0.0, 2025-03-12 17:07:29.860
44.0, -11936.256222278622, -14787.578855464322, -83447.35454885419, -37371.08854902846, -12262.994022726301, -33318.963148470306, -15258.619518115464, -58079.66686244808, -36256.69762572022, -40185.642562585184, -71361.72161838075, -87035.07775486443, -11540.652697164143, -68292.55888373363, -16135.500804841615, -57356.02913570752, 0.12887500000000002, 0.97925, 0.04775, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498602169E9, 0.0, 2025-03-12 17:07:29.860
46.0, -11908.584762642951, -14777.833494881808, -83807.530559007, -37305.97791743016, -12288.0503282607, -33264.11196757698, -15518.838527064148, -58047.36859171017, -36699.73155256886, -40081.79635784583, -71251.34870426044, -86925.6659657557, -11601.069462426838, -68201.58728380052, -16267.26433840565, -57257.6144048708, 0.1294375, 0.977625, 0.050875000000000004, 192.0, 2.0, 8.0, 15.0, 64.0, 0.5, 88.0, 0.0, 0.0, 0.0, 1.7417668498602386E9, 0.0, 2025-03-12 17:07:29.860
48.0, -11922.152271527324, -14767.81991336583, -83427.14857186658, -37372.34024671796, -12257.294327890198, -33307.45200007582, -15424.268296273745, -58102.33153132576, -36281.73157951017, -40180.52401310492, -71352.78092059863, -87025.82413265994, -11525.297048723347, -68289.67550869889, -16174.079915771475, -57340.405266333255, 0.1294375, 0.977625, 0.050875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849860262E9, 0.0, 2025-03-12 17:07:29.860
50.0, -11889.652835089308, -14747.926860800608, -83866.4497573912, -37294.57852775795, -12314.514793695784, -33229.109135759965, -15732.789424990347, -58028.05668450078, -36672.775348755764, -40071.3580931852, -71245.02316057959, -86915.18299760617, -11600.398910093178, -68194.47942906374, -16282.88820777991, -57242.61638434129, 0.1294375, 0.977625, 0.050875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498602839E9, 0.0, 2025-03-12 17:07:29.860
52.0, -11901.655721861807, -14733.085302482285, -83438.77147898334, -37364.5171361586, -12240.061132915156, -33294.59974701402, -15625.456348115964, -58100.3645778137, -36306.81023678902, -40141.72138473051, -71319.38741438239, -86989.4801961756, -11496.843278031742, -68240.38991217493, -16224.416044284826, -57298.451041990644, 0.1294375, 0.977625, 0.050875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498603058E9, 0.0, 2025-03-12 17:07:29.860
54.0, -11909.434128932255, -14767.194064521083, -83908.69455441172, -37318.07021118048, -12348.981183645867, -33249.98566508122, -15935.944430344634, -58052.509492934885, -36623.75797316527, -40095.34151498575, -71259.48473924217, -86934.09257341536, -11610.63600905371, -68219.96041774278, -16287.783239815622, -57251.065343745395, 0.1294375, 0.977625, 0.050875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498603275E9, 0.0, 2025-03-12 17:07:29.860
56.0, -11902.907419551304, -14735.25342169445, -83449.3438541107, -37379.895136343854, -12231.835690955602, -33312.92817746737, -15780.331585446786, -58120.458796079016, -36353.05599606705, -40158.21697213852, -71319.8791527604, -86995.3363532229, -11514.389397429157, -68264.23922350875, -16245.158463139353, -57293.8242308884, 0.12771875, 0.9748125, 0.051437500000000004, 192.0, 1.5, 120.0, 15.0, 48.0, 0.5, 80.0, 0.0, 0.0, 0.0, 1.7417668498603497E9, 0.0, 2025-03-12 17:07:29.860
58.0, -11879.348680895411, -14750.005573034952, -83941.64102573885, -37316.14796115732, -12348.78001794577, -33230.04790902709, -16056.375629469829, -58034.58339388173, -36573.66771384093, -40102.941108100546, -71255.30496302903, -86935.67954727168, -11612.044168954393, -68225.21307768978, -16267.465504105749, -57249.27720418897, 0.12771875, 0.9748125, 0.051437500000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498603723E9, 0.0, 2025-03-12 17:07:29.860
60.0, -11872.330233136445, -14719.71895929801, -83483.22909870495, -37378.48697644317, -12201.0796905851, -33291.202281856815, -15869.805618501381, -58107.85241220622, -36391.83627269701, -40156.45118432656, -71294.7781437371, -86975.75622508004, -11508.823813059786, -68252.37044720298, -16252.936870209798, -57272.09833527784, 0.12771875, 0.9748125, 0.051437500000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849860394E9, 0.0, 2025-03-12 17:07:29.860
62.0, -11866.183503411236, -14743.836491565287, -83937.2153803367, -37327.52499908507, -12343.884985910057, -33221.26367345615, -16106.398833560806, -58030.425969413045, -36501.60568971702, -40129.80790493583, -71259.46238749771, -86940.70868977412, -11605.360997362257, -68241.55220288661, -16229.534593765093, -57249.54542512244, 0.12771875, 0.9748125, 0.051437500000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498604171E9, 0.0, 2025-03-12 17:07:29.860
64.0, -11894.570218869474, -14730.090168725274, -83487.18535747354, -37414.67445071632, -12203.851306897559, -33319.05255544812, -15890.793906544914, -58149.65017433765, -36443.73702332223, -40173.77378627942, -71307.47393458772, -86987.60264964135, -11527.532223168877, -68270.47536021177, -16245.471387561725, -57278.49093419206, 0.12771875, 0.9748125, 0.051437500000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498604767E9, 0.0, 2025-03-12 17:07:29.860
66.0, -11867.792829012016, -14745.91520379963, -83899.64209790732, -37359.15271748933, -12363.554521030728, -33247.370510979956, -16098.41926079026, -58056.555158681294, -36459.49500316322, -40164.45310884155, -71290.24073961267, -86973.14107097877, -11621.655419070175, -68274.20810153581, -16190.351985734938, -57278.692099892156, 0.126859375, 0.9744062499999999, 0.048718750000000005, 192.0, 1.5, 120.0, 15.0, 56.0, 0.5, 56.0, 0.0, 0.0, 0.0, 1.7417668498605103E9, 0.0, 2025-03-12 17:07:29.860
68.0, -11882.67909081925, -14729.352561158248, -83533.63228245167, -37419.39066879638, -12217.530574504206, -33321.466543849296, -15934.938601844146, -58164.46938091152, -36526.12555338449, -40168.76699552143, -71285.9715564217, -86968.5813151099, -11534.103636038737, -68258.360714717, -16257.451922589771, -57257.435590915156, 0.126859375, 0.9744062499999999, 0.048718750000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498605387E9, 0.0, 2025-03-12 17:07:29.860
70.0, -11866.787000511527, -14743.188290976082, -83870.6518853488, -37374.15073801884, -12377.904340971034, -33263.57552571005, -16105.102432382399, -58080.94091188203, -36410.25411012818, -40194.89618478968, -71313.35244337947, -86994.95637356715, -11625.835195283318, -68306.95340716284, -16174.348136704939, -57298.13811756827, 0.126859375, 0.9744062499999999, 0.048718750000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849860561E9, 0.0, 2025-03-12 17:07:29.860
